SEA,LON,LAT,ID,CODE,도,분,도,분,LAT2,LON2,LAT2,LON2,LINE_CODE
JH,35˚1.21',128˚34.24',5,B,35,1.21,128,34.24,35.02016667,128.5706667,35.02016667,128.5706667,10
JH,35˚1.1',128˚34.24',6,B,35,1.1,128,34.24,35.01833333,128.5706667,35.01833333,128.5706667,10
JH,35˚0.99',128˚34.24',7,B,35,0.99,128,34.24,35.0165,128.5706667,35.0165,128.5706667,10
JH,35˚0.88',128˚34.24',8,B,35,0.88,128,34.24,35.01466667,128.5706667,35.01466667,128.5706667,10
JH,35˚0.78',128˚34.24',9,B,35,0.78,128,34.24,35.013,128.5706667,35.013,128.5706667,10
JH,35˚0.67',128˚34.24',10,B,35,0.67,128,34.24,35.01116667,128.5706667,35.01116667,128.5706667,10
JH,35˚0.56',128˚34.24',11,B,35,0.56,128,34.24,35.00933333,128.5706667,35.00933333,128.5706667,10
JH,35˚0.45',128˚34.24',12,B,35,0.45,128,34.24,35.0075,128.5706667,35.0075,128.5706667,10
JH,35˚0.34',128˚34.24',13,B,35,0.34,128,34.24,35.00566667,128.5706667,35.00566667,128.5706667,10
JH,35˚0.24',128˚34.24',14,B,35,0.24,128,34.24,35.004,128.5706667,35.004,128.5706667,10
JH,35˚0.13',128˚34.24',15,B,35,0.13,128,34.24,35.00216667,128.5706667,35.00216667,128.5706667,10
JH,35˚1.64',128˚34.38',1,C,35,1.64,128,34.38,35.02733333,128.573,35.02733333,128.573,11
JH,35˚1.53',128˚34.38',2,C,35,1.53,128,34.38,35.0255,128.573,35.0255,128.573,11
JH,35˚1.42',128˚34.38',3,C,35,1.42,128,34.38,35.02366667,128.573,35.02366667,128.573,11
JH,35˚1.32',128˚34.38',4,C,35,1.32,128,34.38,35.022,128.573,35.022,128.573,11
JH,35˚1.21',128˚34.38',5,C,35,1.21,128,34.38,35.02016667,128.573,35.02016667,128.573,11
JH,35˚1.1',128˚34.38',6,C,35,1.1,128,34.38,35.01833333,128.573,35.01833333,128.573,11
JH,35˚0.99',128˚34.38',7,C,35,0.99,128,34.38,35.0165,128.573,35.0165,128.573,11
JH,35˚0.88',128˚34.38',8,C,35,0.88,128,34.38,35.01466667,128.573,35.01466667,128.573,11
JH,35˚0.78',128˚34.38',9,C,35,0.78,128,34.38,35.013,128.573,35.013,128.573,11
JH,35˚0.67',128˚34.38',10,C,35,0.67,128,34.38,35.01116667,128.573,35.01116667,128.573,11
JH,35˚0.56',128˚34.38',11,C,35,0.56,128,34.38,35.00933333,128.573,35.00933333,128.573,11
JH,35˚0.45',128˚34.38',12,C,35,0.45,128,34.38,35.0075,128.573,35.0075,128.573,11
JH,35˚0.34',128˚34.38',13,C,35,0.34,128,34.38,35.00566667,128.573,35.00566667,128.573,11
JH,35˚0.24',128˚34.38',14,C,35,0.24,128,34.38,35.004,128.573,35.004,128.573,11
JH,35˚0.13',128˚34.38',15,C,35,0.13,128,34.38,35.00216667,128.573,35.00216667,128.573,11
JH,35˚1.64',128˚34.51',1,C,35,1.64,128,34.51,35.02733333,128.5751667,35.02733333,128.5751667,12
